id,overall_status,study_type,phase,sponsors,sponsors_class,start_date,completion_date,primary_completion_date,primary_purpose,enrollment,condition,location_countries,gender,age,intervention,primary_outcome,title
NCT03305341,"Active, not recruiting",Interventional,Early Phase 1,"Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair",Industry,18-Jul-20,28-Jun-21,28-Jun-21,TREATMENT,20,COVID,UNITED STATES,ALL,"22 Years to 72 Years   (Adult, Older Adult)",COVID-19 THERAPEUTIC BIOLOGICS - SPIKE-GM-CSF PROTEIN LACTATED RINGER'S INJECTION,NUMBER OF PARTICIPANTS WITH MODERATE COVID-19:,"Conducting an Initial Small, Controlled Clinical Pharmacology Trial to Assess for Therapeutic Biologics Activity (Proof-of-Concept) That Suggests the Potential for Clinical Benefits of COVID-19 Patients."
NCT03331445,Recruiting,Interventional,Phase 2,Chris Miller,Industry,24-Oct-17,31-Mar-21,31-Dec-20,TREATMENT,20,RESPIRATORY TRACT INFECTIONS,CANADA,ALL,"19 Years and older   (Adult, Older Adult)",NITRIC OXIDE 0.5 % / NITROGEN 99.5 % GAS FOR INHALATION,MEASURE THE SAFETY OF 160PPM INHALED NITRIC OXIDE DELIVERY IN NTM SUBJECTS,"An Open Label Safety Study of Inhaled Gaseous Nitric Oxide (gNO) for Adults & Adolescents With Non-Tuberculous Mycobacteria, Burkholderia Spp, Aspergillus Spp and Corona-like Viral (Sub-Study) Infections"
NCT03348670,"Active, not recruiting",Interventional,Early Phase 1,"Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair",Industry,20-Jul-20,28-Jun-21,28-Jun-21,TREATMENT,20,COVID,UNITED STATES,ALL,"22 Years to 72 Years   (Adult, Older Adult)",COVID-19 THERAPEUTIC BIOLOGICS - SPIKE-GM-CSF PROTEIN LACTATED RINGER'S INJECTION,TEST MACROPHAGE MIGRATION INHIBITORY FACTOR (MMIF),"Conducting an Initial Small, Controlled Clinical Trial to Assess for COVID-19 Therapeutic Biologics Activity (Proof-of-concept) That Suggests the Potential for Clinical Benefits of COVID-19 Patients."
NCT03376854,Recruiting,Interventional,Phase 2,"University of Maryland, Baltimore",Other,1-May-18,31-Dec-20,30-Nov-20,TREATMENT,20,"RESPIRATORY DISTRESS SYNDROME, ADULT",UNITED STATES,ALL,"18 Years to 65 Years   (Adult, Older Adult)",HYPOTHERMIA,TARGETED TEMPERATURE COMPLIANCE,Pilot Randomized Clinical Trial of Therapeutic Hypothermia Plus Neuromuscular Blockade vs. Standard of Care in COVID-19 Patients With Moderate to Severe ARDS - the Cooling to Help Injured Lungs (CHILL) Pilot Study
NCT03452774,Recruiting,Observational [Patient Registry],,"Massive Bio, Inc.",Industry,1-Jan-18,22-Dec-21,21-Dec-21,COHORT,1500,"CANCER, METASTATIC",UNITED STATES,ALL,"Child, Adult, Older Adult",CLINICAL TRIAL MATCHING,PROPORTION OF PATIENTS ELIGIBLE FOR CTE VERSUS ACTUAL CTE,SYNERGY-AI: Artificial Intelligence Based Precision Oncology Clinical Trial Matching and Registry
NCT03474965,Recruiting,Interventional,Phase 2,Novartis Pharmaceuticals,Industry,1-Oct-18,20-Nov-24,5-Jun-23,TREATMENT,100,SICKLE CELL DISEASE (SCD),BELGIUM,ALL,6 Months to 17 Years   (Child),CRIZANLIZUMAB,PK (AUCD15) AFTER 1ST DOSE,"A Phase 2,Multicenter,Open-Label Study to Assess Appropriate Dosing and to Evaluate Safety of Crizanlizumab,With or Without Hydroxyurea/Hydroxycarbamide,in Sequential,Descending Age Groups of Pediatric Sickle Cell Disease Patients With Vaso-Occlusive Crisis"
NCT03680274,Recruiting,Interventional,Phase 3,Université de Sherbrooke,Other,8-Nov-18,31-Dec-22,31-Dec-21,TREATMENT,800,SEPSIS,CANADA,ALL,"18 Years and older   (Adult, Older Adult)",VITAMIN C,NUMBER OF DECEASED PARTICIPANTS OR WITH PERSISTENT ORGAN DYSFUNCTION,Lessening Organ Dysfunction With VITamin C (LOVIT)
NCT03708718,Recruiting,Interventional,Phase 2,Prof. Ariane herrick,Other,21-Dec-17,21-Sep-21,21-Jun-21,TREATMENT,72,SYSTEMIC SCLEROSIS,UNITED KINGDOM,ALL,"18 Years and older   (Adult, Older Adult)",PREDNISOLONE 5 MG,HEALTH ASSESSMENT QUESTIONNAIRE DISABILITY INDEX (HAQ-DI),"A Phase II Randomised Study of Oral Prednisolone in Early Diffuse Cutaneous Systemic Sclerosis (Initially Double-blind, Then Switched to Open-label Because of Covid-19)"
NCT03738774,Recruiting,Observational,,Vanderbilt University Medical Center,Other,2-Jan-19,22-Jul-21,21-Dec-21,COHORT,200,POST INTENSIVE CARE SYNDROME,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",,NUMBER OF DEATHS OR HOSPITAL READMISSIONS WITHIN THREE MONTHS OF DISCHARGE,Addressing Post-Intensive Care Syndrome Among Survivors of COVID (APICS-COVID)
NCT03808922,Recruiting,Interventional,Phase 3,"Ansun Biopharma, Inc.",Industry,23-May-19,28-Dec-21,30-Apr-21,TREATMENT,274,LOWER RESPIRATORY TRACT INFECTION,AUSTRALIA,ALL,"Child, Adult, Older Adult",DAS181,PERCENT OF SUBJECTS WHO RETURN TO ROOM AIR (RTRA) (MAIN STUDY),A Phase III Randomized Placebo-Controlled Study to Examine the Efficacy and Safety of DAS181 for the Treatment of Lower Respiratory Tract Parainfluenza Infection in Immunocompromised Subjects
NCT03852537,"Active, not recruiting",Interventional,Phase 1,Mayo Clinic,Other,2-Dec-19,15-Mar-21,17-Nov-20,TREATMENT,44,PNEUMONIA,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",METHYLPREDNISOLONE,FEASIBILITY OF THE TIMELY INITIATION OF CORTICOSTEROIDS AND IMPLEMENTATION OF BIOMARKER-TITRATED CORTICOSTEROID DOSING: PERCENTAGE OF ELIGIBLE PATIENTS ADHERED TO THE TIMELY INITIATION,SMART Trial: Steroid Dosing by bioMARker Guided Titration in Critically Ill Patients With Pneumonia
NCT03871491,Recruiting,Interventional,Phase 3,NICHD Global Network for Women's and Children's Health,Other,1-Sep-20,1-Sep-23,1-Sep-23,PREVENTION,34000,MATERNAL DEATH,BANGLADESH,FEMALE,18 Years to 45 Years   (Adult),AZITHROMYCIN,MATERNAL: INCIDENCE OF MATERNAL DEATH OR SEPSIS WITHIN 6 WEEKS (42 DAYS) POST-DELIVERY IN INTERVENTION VS. PLACEBO GROUP.,Prevention of Maternal and Neonatal Death/Infections With a Single Oral Dose of Azithromycin in Women in Labor (in Low- and Middle-income Countries): a Randomized Controlled Trial
NCT03891420,Recruiting,Interventional,Phase 1,BioCryst Pharmaceuticals,Industry,9-Apr-20,31-May-21,31-May-21,TREATMENT,132,COVID,BRAZIL,ALL,"18 Years and older   (Adult, Older Adult)",GALIDESIVIR,NUMBER OF SUBJECTS WITH TREATMENT EMERGENT ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,"A Phase 1b Double-blind, Placebo-controlled, Dose-ranging Study to Evaluate the Safety, Pharmacokinetics, and Anti-viral Effects of Galidesivir Administered Via Intravenous Infusion to Subjects With Yellow Fever or COVID-19"
NCT03907891,Recruiting,Interventional,Not Applicable,University of Illinois at Chicago,Other,1-Aug-19,23-May-21,23-May-21,TREATMENT,225,ISCHEMIC HEART DISEASE,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",MOTIVATIONAL SOCIAL SUPPORT FROM NURSE,ACTIGRAPH GT9X LINK ACCELEROMETER,A Randomized Controlled Trial to Reduce Hopelessness Through Enhanced Physical Activity in Adults With Ischemic Heart Disease
NCT03944447,Recruiting,Interventional,Phase 2,"OMNI Medical Services, LLC",Other,1-Dec-18,31-Dec-25,31-Dec-25,TREATMENT,200000,CHRONIC PAIN,UNITED STATES,ALL,"7 Years and older   (Child, Adult, Older Adult)","CANNABIS, MEDICAL",PREVENTION OF COVID-19,Outcomes Mandate National Integration With Cannabis as Medicine for Prevention and Treatment of COVID-19
NCT03963622,Recruiting,Interventional,Not Applicable,Unity Health Toronto,Other,23-Nov-20,22-Nov-21,22-May-21,TREATMENT,740,ARDS,CANADA,ALL,"18 Years and older   (Adult, Older Adult)",RESPIRATORY MECHANICS,ALL-CAUSE 60-DAY MORTALITY,Careful Ventilation in Acute Respiratory Distress Syndrome
NCT04025580,Recruiting,Interventional,Phase 2,National Institute of Allergy and Infectious Diseases (NIAID),NIH,2-Oct-19,31-Dec-25,31-Dec-25,BASIC SCIENCE,300,HEALTHY VOLUNTEER,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",FLUCELVAX,MICRONEUTRALIZATION TITERS,Systems Analyses of the Immune Response to the Seasonal Influenza Vaccine
NCT04061382,Recruiting,Observational,,University of Oxford,Other,15-Oct-19,30-Jun-21,31-Mar-21,OTHER,3800,SEROGROUP C MENINGOCOCCAL MENINGITIS,UNITED KINGDOM,ALL,"up to 24 Years   (Child, Adult)",VENEPUNCTURE,FEASIBILITY OF DEVELOPING AN ENGLAND BASED SERO-EPIDEMIOLOGICAL PROGRAMME IN 0-24 YEAR OLDS,Serum Testing of Representative Youngsters: Sero- Epidemiological Survey of England in 2019/2020
NCT04107402,Recruiting,Interventional,Not Applicable,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Other,15-Mar-19,15-Mar-24,15-Nov-21,BASIC SCIENCE,150,SEPTIC SHOCK,BELGIUM,ALL,"18 Years and older   (Adult, Older Adult)","ASSESSMENT OF COAGULOPATHY, PLATELETS ACTIVATION AND PLATELETS-NEUTROPHILS INTERPLAY",PLATELETS ACETYL-COA CARBOXYLASE PHOSPHORYLATION RATE,Prospective Evaluation of PLatelets Acetyl-CoA Carboxylase Phosphorylation State in SEPtic Shock Patients. Impact of Platelets Metabolism to Inflammatory Response.
NCT04148430,Recruiting,Interventional,Phase 2,Memorial Sloan Kettering Cancer Center,Other,30-Oct-19,22-Oct-21,22-Oct-21,TREATMENT,90,B CELL ALL,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",ANAKINRA,ARM 1 (CAR T CELL GROUP) RATE OF SEVERE NEUROTOXICITIES,A Phase II Study of IL-1 Receptor Antagonist Anakinra to Prevent Severe Neurotoxicity and Cytokine Release Syndrome in Patients Receiving CD19-Specific Chimeric Antigen Receptor (CAR) T Cells And to Treat Systemic Inflammation Associated With COVID-19
NCT04160975,Completed,Interventional,Not Applicable,Harvard University,Other,20-Dec-19,19-Feb-21,19-Feb-21,HEALTH SERVICES RESEARCH,2902,"FLU, HUMAN",UNITED STATES,MALE,18 Years to 51 Years   (Adult),VIDEO ABOUT SAFETY AND EFFECTIVENESS OF ADULT SEASONAL FLU VACCINATION,POSTERIOR BELIEFS ABOUT THE RISK/BENEFITS OF THE FLU SHOT,Persuasion in Medicine: Experimental Evidence on Sender and Signal Effects
NCT04169542,Recruiting,Observational,,M.D. Anderson Cancer Center,Other,21-May-19,31-Mar-22,31-Mar-22,COHORT,600,BREAST DUCTAL CARCINOMA IN SITU,UNITED STATES,FEMALE,"18 Years and older   (Adult, Older Adult)",QUESTIONNAIRE ADMINISTRATION,PREVALENCE OF FINANCIAL TOXICITY,"Potential Impact of the COVID -19 Pandemic on Financial Toxicity in Breast Cancer Surgical Patients: The Impact on Out of Pocket Costs, Lost Wages and Economic Strain"
NCT04233268,Recruiting,Observational,,Cambridge University Hospitals NHS Foundation Trust,Other,6-Apr-20,28-Feb-25,28-Feb-23,COHORT,250,LOWER RESPIRATORY TRACT INFECTION,UNITED KINGDOM,ALL,up to 16 Years   (Child),RAPID PATHOGEN DETECTION,PERFORMANCE OF THE NOVEL PATHOGEN DETECTION ASSAY,RASCALS: Rapid Assay for Sick Children With Acute Lung Infection Study
NCT04240886,Recruiting,Interventional,Phase 2,Amplyx Pharmaceuticals,Industry,4-Jan-20,21-Oct-21,21-Jul-21,TREATMENT,50,INVASIVE FUNGAL INFECTIONS,BELGIUM,ALL,"18 Years and older   (Adult, Older Adult)",FOSMANOGEPIX,ALL-CAUSE MORTALITY,"A Phase 2, Open-Label Study to Evaluate the Safety and Efficacy of APX001 in the Treatment of Patients With Invasive Mold Infections Caused by Aspergillus Species or Rare Molds"
NCT04244591,Completed,Interventional,Phase 2/Phase 3,Peking Union Medical College Hospital,Other,26-Jan-20,13-Apr-20,13-Apr-20,TREATMENT,80,COVID INFECTIONS,CHINA,ALL,"18 Years and older   (Adult, Older Adult)",METHYLPREDNISOLONE THERAPY,LOWER MURRAY LUNG INJURY SCORE,"Glucocorticoid Therapy for Critically Ill Patients With Severe Acute Respiratory Infections Caused by COVID-19: a Prospective, Randomized Controlled Trial"
NCT04245631,Recruiting,Observational,,Beijing Ditan Hospital,Other,1-Jan-20,31-Dec-20,31-Dec-20,COHORT,50,NEW CORONAVIRUS,CHINA,ALL,"1 Year to 90 Years   (Child, Adult, Older Adult)",RECOMBINASE AIDED AMPLIFICATION (RAA) ASSAY,DETECTION SENSITIVITY IS GREATER THAN 95%,"Development of a Simple, Fast and Portable Recombinase Aided Amplification (RAA) Assay for 2019-nCoV"
NCT04247620,Enrolling by invitation,Interventional,Not Applicable,Baylor College of Medicine,Other,15-Dec-20,24-Jun-21,24-Jun-21,SUPPORTIVE CARE,186,TYPE 1 DIABETES,UNITED STATES,ALL,"17 Years to 35 Years   (Child, Adult)",DIABETTER TOGETHER,GLYCEMIC CONTROL (HBA1C),"DiaBetter Together: A Strengths-based, Peer Mentor Transition RCT for Young Adults With Type 1 Diabetes"
NCT04251767,Withdrawn,Interventional,Not Applicable,The Second Hospital of Nanjing Medical University,Other,5-Feb-20,30-Apr-20,30-Apr-20,TREATMENT,0,COVID COMPLICATED WITH REFRACTORY INTESTINAL INFECTIONS,CHINA,ALL,"14 Years to 70 Years   (Child, Adult, Older Adult)",WASHED MICROBIOTA TRANSPLANTATION,NUMBER OF PARTICIPANTS WITH IMPROVEMENT FROM SEVERE TYPE TO COMMON TYPE,"Washed Microbiota Transplantation for Patients With 2019-nCoV Infection: a Randomized, Double-blind, Placebo-controlled Study"
NCT04251871,Recruiting,Interventional,Not Applicable,Beijing 302 Hospital,Other,22-Jan-20,22-Jan-21,22-Jan-21,TREATMENT,150,PNEUMONIA CAUSED BY HUMAN CORONAVIRUS (DISORDER),CHINA,ALL,"14 Years to 80 Years   (Child, Adult, Older Adult)","CONVENTIONAL MEDICINES (OXYGEN THERAPY, ALFA INTERFERON VIA AEROSOL INHALATION, AND LOPINAVIR/RITONAVIR) AND TRADITIONAL CHINESE MEDICINES (TCMS) GRANULES",THE INCIDENTS OF ACUTE RESPIRATORY DISTRESS SYNDROME (ARDS) DEVELOPMENT,"Effects of Traditional Chinese Medicines (TCMs) on Patients With COVID-19 Infection: A Perspective, Open-labeled, Randomized, Controlled Trial"
NCT04252118,Recruiting,Interventional,Phase 1,Beijing 302 Hospital,Other,27-Jan-20,21-Dec-21,20-Dec-21,TREATMENT,20,COVID,CHINA,ALL,"18 Years to 70 Years   (Adult, Older Adult)",MSCS,SIZE OF LESION AREA BY CHEST RADIOGRAPH OR CT,Safety and Efficiency of Mesenchymal Stem Cell in Treating Pneumonia Patients Infected With COVID-19
NCT04252274,Recruiting,Interventional,Phase 3,Shanghai Public Health Clinical Center,Other,30-Jan-20,31-Dec-20,31-Aug-20,TREATMENT,30,"PNEUMONIA, PNEUMOCYSTIS",CHINA,ALL,"Child, Adult, Older Adult",DARUNAVIR AND COBICISTAT,"THE VIROLOGICAL CLEARANCE RATE OF THROAT SWABS, SPUTUM, OR LOWER RESPIRATORY TRACT SECRETIONS AT DAY 7",Efficacy and Safety of Darunavir and Cobicistat for Treatment of COVID-19
NCT04252664,Suspended,Interventional,Phase 3,Capital Medical University,Other,12-Feb-20,27-Apr-20,10-Apr-20,TREATMENT,308,COVID,CHINA,ALL,"18 Years and older   (Adult, Older Adult)",REMDESIVIR,TIME TO CLINICAL RECOVERYTIME TO CLINICAL RECOVERY (TTCR),"A Phase 3 Randomized, Double-blind, Placebo-controlled Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Mild and Moderate COVID-19."
NCT04254874,Recruiting,Interventional,Phase 4,Tongji Hospital,Other,1-Feb-20,1-Jul-20,1-Jun-20,TREATMENT,100,2019-NCOV,CHINA,ALL,"18 Years and older   (Adult, Older Adult)",ABIDOL HYDROCHLORIDE,RATE OF DISEASE REMISSION,"An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Two Therapeutic Schemes(Abidol Hydrochloride,Abidol Hydrochloride Combined With Interferon Atomization)in the Treatment of 2019-nCoV Pneumonia."
NCT04255017,Recruiting,Interventional,Phase 4,Tongji Hospital,Other,1-Feb-20,1-Jul-20,1-Jun-20,TREATMENT,400,2019-NCOV,CHINA,ALL,"18 Years and older   (Adult, Older Adult)",ABIDOL HYDROCHLORIDE,RATE OF DISEASE REMISSION,"An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Three Antiviral Drugs(Abidol Hydrochloride, Oseltamivir and Lopinavir/Ritonavir) in the Treatment of 2019-nCoV Pneumonia."
NCT04255940,Recruiting,Observational,,Qilu Hospital of Shandong University,Other,20-Jan-20,30-Apr-20,30-Apr-20,CASE-ONLY,12000,CARDIOVASCULAR DEATH; MAJOR ADVERSE CARDIOVASCULAR EVENTS,CHINA,ALL,"Child, Adult, Older Adult",,CARDIOVASCULAR DEATH,Impact of a Novel Coronavirus (2019-nCoV) Outbreak on Public Anxiety and Cardiovascular Disease Risk in China
NCT04256395,Completed,Observational,,Beijing Tsinghua Chang Gung Hospital,Other,1-Feb-20,1-Jul-20,1-Jul-20,OTHER,102456,SUSCEPTIBILITY TO VIRAL AND MYCOBACTERIAL INFECTION,CHINA,ALL,"Child, Adult, Older Adult",MOBILE INTERNET SURVEY ON SELF-TEST,POSITIVE NUMBER DIAGNOSED BY NATIONAL GUIDELINE IN THE EVALUATED POPULATION,Registry Study on the Efficacy of a Self-test and Self-alert Applet in Detecting Susceptible Infection of COVID-19 --a Population Based Mobile Internet Survey
NCT04257656,Terminated,Interventional,Phase 3,Capital Medical University,Other,6-Feb-20,10-Apr-20,30-Mar-20,TREATMENT,237,COVID,CHINA,ALL,"18 Years and older   (Adult, Older Adult)",REMDESIVIR,TIME TO CLINICAL IMPROVEMENT (TTCI) [CENSORED AT DAY 28],"A Phase 3 Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Severe COVID-19."
NCT04259892,Recruiting,Observational,,"Institut National de la Santé Et de la Recherche Médicale, France",Other,4-Feb-20,4-Feb-21,4-Oct-20,COHORT,345,CORONAVIRUS,FRANCE,ALL,"Child, Adult, Older Adult",2019-NCOV PCR,"TIME TO SARS-COV-2 NASOPHARYNGEAL EXCRETION, FROM THE DAY OF THE FIRST HIGH/MODERATE RISK CONTACT TO 12 DAYS AFTER THE LAST HIGH/MODERATE RISK CONTACT WITH A LABORATORY-CONFIRMED SARS-COV-2 CASE.",Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection
NCT04260308,Recruiting,Observational,,Huazhong University of Science and Technology,Other,3-Feb-20,20-Apr-20,15-Apr-20,CASE-ONLY,30000,VIRUS; PNEUMONIA,CHINA,ALL,"Child, Adult, Older Adult",,GHQ-12(GENERAL HEALTH QUESTIONNAIRE-12),"A Survey of Psychological Status of Medical Workers and Residents in the Context of 2019 Novel Coronavirus Pneumonia in Wuhan, China"
NCT04260594,Not yet recruiting,Interventional,Phase 4,Jieming QU,Other,7-Feb-20,30-Dec-20,1-Jul-20,TREATMENT,380,2019-NCOV,,ALL,"18 Years to 75 Years   (Adult, Older Adult)",ARBIDOL,VIRUS NEGATIVE CONVERSION RATE IN THE FIRST WEEK,"Randomized, Open, Multicenter Study on the Efficacy and Safety of Arbidol Hydrochloride Tablets in Treating Pneumonia in Patients Infected With Novel Coronavirus (2019-ncov)."
NCT04261270,Recruiting,Interventional,Phase 3,Tongji Hospital,Other,1-Feb-20,1-Jul-20,1-May-20,TREATMENT,60,2019-NCOV PNEUMONIA,CHINA,ALL,18 Years to 55 Years   (Adult),ASC09F+OSELTAMIVIR,RATE OF COMPREHENSIVE ADVERSE OUTCOME,"A Randomized,Open,Controlled Small Sample Clinical Study to Evaluate the Efficacy and Safety of ASC09/Ritonavir Compound Tablets and Ritonavir for 2019-nCoV Pneumonia"
NCT04261426,Not yet recruiting,Interventional,Phase 2/Phase 3,Peking Union Medical College Hospital,Other,10-Feb-20,30-Jun-20,30-Apr-20,TREATMENT,80,2019-NCOV,,ALL,"18 Years and older   (Adult, Older Adult)",INTRAVENOUS IMMUNOGLOBULIN,CLINICAL IMPROVEMENT BASED ON THE 7-POINT SCALE,"A Randomized, Open-label, Controlled, Single-center Study to Evaluate the Efficacy of Intravenous Immunoglobulin Therapy in Patients With Severe 2019- nCoV Pneumonia"
NCT04261517,Completed,Interventional,Phase 3,Shanghai Public Health Clinical Center,Other,6-Feb-20,25-Feb-20,25-Feb-20,TREATMENT,30,"PNEUMONIA, PNEUMOCYSTIS",CHINA,ALL,"18 Years and older   (Adult, Older Adult)",HYDROXYCHLOROQUINE,"THE VIROLOGICAL CLEARANCE RATE OF THROAT SWABS, SPUTUM, OR LOWER RESPIRATORY TRACT SECRETIONS AT DAY 3",Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19
NCT04261907,Not yet recruiting,Interventional,Not Applicable,First Affiliated Hospital of Zhejiang University,Other,7-Feb-20,30-Jun-20,31-May-20,TREATMENT,160,2019-NCOV,,ALL,"18 Years to 75 Years   (Adult, Older Adult)",ASC09/RITONAVIR GROUP,THE INCIDENCE OF COMPOSITE ADVERSE OUTCOME,"A Randomized, Open-label, Multi-centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Pneumonia Caused by Novel Coronavirus Infection"
NCT04262921,Recruiting,Observational,,"Institut National de la Santé Et de la Recherche Médicale, France",Other,8-Feb-20,7-Aug-23,7-Aug-20,OTHER,5000,CORONAVIRUS INFECTION,FRANCE,ALL,"Child, Adult, Older Adult",,CLINICAL FEATURES,Clinical Characterisation Protocol for Severe Emerging Infections
NCT04263402,Recruiting,Interventional,Phase 4,Tongji Hospital,Other,1-Feb-20,1-Jul-20,1-Jun-20,TREATMENT,100,2019-NCOV SEVERE PNEUMONIA,CHINA,ALL,"18 Years and older   (Adult, Older Adult)",METHYLPREDNISOLONE,RATE OF DISEASE REMISSION,"An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Different Hormone Doses in the Treatment of 2019-nCoV Severe Pneumonia"
